Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
533.923, 4180, 0.114083, 89.06, 0.840468
535.190, 4190, 0.167394, 71.88, 0.812167
536.496, 4200, 0.183531, 68.75, 0.740261
538.399, 4210, 0.235637, 62.50, 0.875995
539.638, 4220, 0.177444, 76.56, 0.863374
540.956, 4230, 0.183637, 78.12, 0.899134
542.357, 4240, 0.184890, 70.31, 0.888411
543.648, 4250, 0.240929, 67.19, 0.769646
544.987, 4260, 0.212515, 70.31, 0.900900
546.260, 4270, 0.190065, 75.00, 0.979218
547.521, 4280, 0.146276, 79.69, 0.825637
549.083, 4290, 0.146148, 79.69, 0.897365
550.613, 4300, 0.174878, 70.31, 0.702527
552.004, 4310, 0.164350, 76.56, 1.039263
553.363, 4320, 0.134874, 85.94, 0.795766
554.647, 4330, 0.160807, 76.56, 0.764336
555.988, 4340, 0.196117, 71.88, 0.753572
557.321, 4350, 0.137035, 87.50, 0.978198
558.628, 4360, 0.131162, 79.69, 0.909438
559.830, 4370, 0.144318, 79.69, 0.758729
561.095, 4380, 0.182206, 75.00, 0.867623
562.316, 4390, 0.132230, 89.06, 0.859364
563.490, 4400, 0.166642, 78.12, 0.906347
565.395, 4410, 0.138638, 85.94, 0.965523
566.661, 4420, 0.168254, 75.00, 0.811940
568.031, 4430, 0.168788, 70.31, 0.731691
569.357, 4440, 0.217531, 67.19, 0.856823
570.542, 4450, 0.124718, 89.06, 0.892675
571.854, 4460, 0.173924, 76.56, 0.795057
573.144, 4470, 0.136792, 84.38, 0.946044
574.382, 4480, 0.171708, 68.75, 0.803128
575.636, 4490, 0.180217, 75.00, 0.872334
576.889, 4500, 0.144463, 82.81, 0.920320
578.134, 4510, 0.191146, 73.44, 0.853394
579.419, 4520, 0.202078, 75.00, 0.958150
580.666, 4530, 0.172432, 75.00, 0.784289
581.853, 4540, 0.166347, 73.44, 0.869668
583.087, 4550, 0.140729, 82.81, 0.849781
584.309, 4560, 0.206442, 68.75, 0.948104
585.586, 4570, 0.188266, 71.88, 0.804222
586.950, 4580, 0.115109, 89.06, 0.827177
588.237, 4590, 0.141441, 79.69, 0.873017
589.568, 4600, 0.140644, 78.12, 0.920425
591.372, 4610, 0.161826, 78.12, 0.810996
592.704, 4620, 0.133964, 82.81, 0.719562
594.349, 4630, 0.151918, 75.00, 0.769405
595.821, 4640, 0.223080, 64.06, 0.943379
597.322, 4650, 0.183395, 78.12, 0.888763
598.754, 4660, 0.196425, 68.75, 0.857224
600.092, 4670, 0.184282, 71.88, 0.878535
601.437, 4680, 0.188897, 70.31, 0.826386
602.820, 4690, 0.141979, 76.56, 0.927964
604.454, 4700, 0.152811, 82.81, 0.720263
605.780, 4710, 0.149028, 76.56, 0.729804
607.051, 4720, 0.181014, 73.44, 0.981270
608.440, 4730, 0.201161, 64.06, 0.951409
609.758, 4740, 0.153114, 76.56, 0.930028
610.998, 4750, 0.200506, 73.44, 0.818749
612.449, 4760, 0.122753, 89.06, 0.744540
613.963, 4770, 0.180393, 70.31, 0.806721
615.319, 4780, 0.152121, 79.69, 0.829789
616.600, 4790, 0.206367, 67.19, 0.776243
617.831, 4800, 0.169121, 76.56, 0.797216
619.475, 4810, 0.105949, 89.06, 0.848718
620.616, 4820, 0.174752, 81.25, 0.793120
621.769, 4830, 0.149656, 76.56, 0.770113
622.958, 4840, 0.178307, 68.75, 0.829197
624.184, 4850, 0.192143, 67.19, 0.896856
625.325, 4860, 0.183012, 71.88, 0.935006
626.472, 4870, 0.135595, 81.25, 0.847987
627.613, 4880, 0.215705, 71.88, 0.701128
628.759, 4890, 0.167908, 76.56, 0.881406
629.915, 4900, 0.159791, 82.81, 0.865231
631.305, 4910, 0.196515, 73.44, 1.107185
632.614, 4920, 0.143252, 76.56, 0.757885
633.863, 4930, 0.148884, 79.69, 0.938554
635.028, 4940, 0.112492, 82.81, 0.888653
636.181, 4950, 0.181551, 67.19, 0.773275
637.323, 4960, 0.171264, 70.31, 1.014773
638.466, 4970, 0.190858, 71.88, 1.013673
639.614, 4980, 0.160237, 71.88, 0.807793
640.768, 4990, 0.122067, 89.06, 0.954837
641.961, 5000, 0.152338, 79.69, 0.835255
643.507, 5010, 0.127428, 84.38, 0.833012
644.676, 5020, 0.187323, 70.31, 0.917998
645.831, 5030, 0.137365, 79.69, 0.871149
647.016, 5040, 0.207736, 67.19, 0.937422
648.173, 5050, 0.206026, 75.00, 0.641885
649.325, 5060, 0.236142, 62.50, 0.691960
650.472, 5070, 0.237848, 59.38, 0.842495
651.629, 5080, 0.156528, 81.25, 0.696650
652.821, 5090, 0.137913, 79.69, 1.012009
653.999, 5100, 0.231563, 62.50, 0.860286
655.165, 5110, 0.152667, 82.81, 0.846325
656.334, 5120, 0.159502, 81.25, 0.885996
657.480, 5130, 0.153912, 82.81, 0.979003
658.618, 5140, 0.160542, 75.00, 0.949232
659.774, 5150, 0.166014, 75.00, 1.026940
660.936, 5160, 0.173340, 76.56, 0.804218
662.107, 5170, 0.245301, 68.75, 1.065169
663.268, 5180, 0.166541, 76.56, 0.818875
664.434, 5190, 0.161080, 78.12, 0.874631
665.602, 5200, 0.209836, 64.06, 0.827487
667.152, 5210, 0.230318, 68.75, 1.074577
668.301, 5220, 0.178997, 71.88, 0.831365
669.458, 5230, 0.175393, 75.00, 0.747307
670.606, 5240, 0.153455, 67.19, 0.828140
671.794, 5250, 0.174539, 75.00, 0.782860
672.977, 5260, 0.173394, 76.56, 0.836544
674.143, 5270, 0.199664, 70.31, 0.788695
675.312, 5280, 0.167546, 75.00, 0.810850
676.463, 5290, 0.157859, 79.69, 0.915225
677.614, 5300, 0.133378, 81.25, 0.972493
678.907, 5310, 0.248275, 60.94, 0.996325
680.141, 5320, 0.192131, 71.88, 0.856967
681.285, 5330, 0.221770, 65.62, 0.769403
682.444, 5340, 0.143894, 78.12, 0.784915
683.601, 5350, 0.150903, 84.38, 0.868184
684.757, 5360, 0.220139, 67.19, 0.917480
685.913, 5370, 0.159650, 82.81, 0.883199
687.064, 5380, 0.168966, 78.12, 0.823656
688.195, 5390, 0.125123, 89.06, 0.929449
689.339, 5400, 0.147289, 87.50, 0.866754
690.974, 5410, 0.114210, 85.94, 0.867628
692.121, 5420, 0.183563, 70.31, 0.777747
693.271, 5430, 0.156655, 73.44, 0.874915
694.416, 5440, 0.218769, 70.31, 1.107578
695.589, 5450, 0.136369, 81.25, 0.996958
696.729, 5460, 0.235969, 59.38, 0.788211
697.866, 5470, 0.148033, 76.56, 0.812709
699.019, 5480, 0.196861, 70.31, 0.818676
700.161, 5490, 0.152459, 76.56, 0.758883
701.309, 5500, 0.181151, 75.00, 1.251127
702.519, 5510, 0.156643, 81.25, 0.726803
703.704, 5520, 0.175329, 75.00, 0.752858
704.866, 5530, 0.175641, 70.31, 0.843588
706.007, 5540, 0.135504, 82.81, 0.921836
707.165, 5550, 0.130348, 82.81, 0.810770
708.296, 5560, 0.165599, 78.12, 0.757494
