Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, DiscriminatorOpAcc, GeneratorLoss
2383.502, 2400, 0.438895, 45.31, 50.00, 0.991694
2393.444, 2410, 0.400211, 60.94, 51.56, 0.981471
2402.881, 2420, 0.403475, 59.38, 50.00, 0.984100
2412.308, 2430, 0.400354, 57.81, 51.56, 1.091531
2421.782, 2440, 0.419410, 50.00, 50.00, 1.055879
2431.192, 2450, 0.379550, 60.94, 50.00, 1.092133
2440.612, 2460, 0.432788, 53.12, 50.00, 1.015826
2450.136, 2470, 0.401176, 59.38, 50.00, 0.868791
2459.630, 2480, 0.411534, 50.00, 51.56, 0.969496
2469.002, 2490, 0.374704, 64.06, 50.00, 0.983806
2478.495, 2500, 0.398152, 53.12, 50.00, 0.967355
2487.909, 2510, 0.395991, 60.94, 50.00, 0.950913
2497.368, 2520, 0.368215, 64.06, 50.00, 0.908574
2506.946, 2530, 0.393099, 59.38, 50.00, 1.077836
2516.381, 2540, 0.436007, 48.44, 50.00, 0.901369
2525.767, 2550, 0.368659, 67.19, 50.00, 0.925169
2535.266, 2560, 0.399583, 53.12, 50.00, 0.947251
2544.689, 2570, 0.464661, 46.88, 50.00, 0.980646
2554.042, 2580, 0.372044, 59.38, 50.00, 1.048072
2563.523, 2590, 0.407341, 54.69, 50.00, 0.924925
2572.944, 2600, 0.456349, 42.19, 51.56, 0.905063
2582.861, 2610, 0.378080, 64.06, 50.00, 1.030584
2592.290, 2620, 0.400340, 53.12, 50.00, 0.856646
2601.754, 2630, 0.413682, 56.25, 50.00, 0.912803
2611.320, 2640, 0.416828, 57.81, 50.00, 0.909411
2620.754, 2650, 0.414096, 57.81, 50.00, 1.005553
2630.195, 2660, 0.398975, 54.69, 50.00, 0.873639
2639.557, 2670, 0.353681, 73.44, 50.00, 1.135999
2648.943, 2680, 0.437375, 48.44, 51.56, 0.911598
2658.434, 2690, 0.391917, 59.38, 50.00, 0.888505
2667.859, 2700, 0.397023, 56.25, 50.00, 0.912392
2677.230, 2710, 0.406198, 51.56, 50.00, 1.066095
2686.750, 2720, 0.424542, 50.00, 50.00, 0.898475
2696.131, 2730, 0.408481, 53.12, 50.00, 0.843682
2705.768, 2740, 0.388903, 57.81, 50.00, 1.051917
2715.275, 2750, 0.447739, 51.56, 50.00, 0.838895
2724.832, 2760, 0.382821, 65.62, 50.00, 0.916031
2734.197, 2770, 0.388644, 59.38, 50.00, 0.897137
2743.656, 2780, 0.369348, 64.06, 50.00, 0.900472
2753.065, 2790, 0.391040, 59.38, 50.00, 0.858236
2762.502, 2800, 0.412015, 54.69, 50.00, 1.034164
2772.522, 2810, 0.394552, 62.50, 50.00, 0.963215
2781.951, 2820, 0.408987, 65.62, 50.00, 0.838555
2791.356, 2830, 0.388423, 62.50, 50.00, 0.959290
2800.716, 2840, 0.396657, 56.25, 50.00, 0.977924
2810.162, 2850, 0.386997, 57.81, 50.00, 0.890803
2819.574, 2860, 0.386093, 59.38, 50.00, 0.943958
2828.943, 2870, 0.393713, 59.38, 50.00, 0.892022
2838.456, 2880, 0.421624, 54.69, 50.00, 0.937781
2847.818, 2890, 0.408008, 56.25, 50.00, 0.911490
2857.200, 2900, 0.380423, 62.50, 50.00, 0.937511
